script_id,path,category,workflow,docstring,has_main,has_argparse,test_ref_count,test_refs,story_status,latest_result,owner_access_note,next_action,updated_at
OPS-SCRIPT-001,scripts/add_manual_users.py,Manual user and subscription operations,run the add manual users operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",Live execution changes or exports user/subscription state and requires explicit owner/operator approval.,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-002,scripts/add_node.py,Node and control-plane operations,run the add node operator workflow,,True,True,2,tests/test_client_ui_api_additions.py; tests/test_smart_connect_api.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-003,scripts/audit_node_dns.py,Node and control-plane operations,run the audit node dns operator workflow,,True,True,2,tests/test_audit_node_dns.py; tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-004,scripts/audit_node_dns_matrix.py,Node and control-plane operations,run the audit node dns matrix operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-005,scripts/api_lifecycle_smoke.py,"Smoke, audit, and diagnostics",run the api lifecycle smoke operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-006,scripts/backup_portal_db.py,"Data, migration, and cleanup",run the backup portal db operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-007,scripts/check-links.py,"Smoke, audit, and diagnostics",run the check links operator workflow,,True,True,1,tests/test_release_gate_check.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-008,scripts/client_security_smoke.py,"Smoke, audit, and diagnostics",run the client security smoke operator workflow,,True,False,2,tests/test_client_security_smoke.py; tests/test_release_gate_check.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-009,scripts/check_script_manifest.py,"Smoke, audit, and diagnostics",run the check script manifest operator workflow,,True,True,1,tests/test_check_script_manifest.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-010,scripts/ci_check_artifacts.py,"Smoke, audit, and diagnostics",run the ci check artifacts operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
