snapshot_date,competitor,channel,subscribers,bot_mau,growth_30d,growth_30d_percent,average_reach,err_percent,posts_month,android_footprint,metric_source,data_quality,notes
2026-07-12,Quattro,@QuattroVPN_NEWS,1045049,,51999,5.2,399078,38.2,6,"first-party Android; separate APK report","authenticated TGStat","PASS_DIRECT","Growth source not fully explained by public mentions"
2026-07-12,Cats VPN,@catsvpn,20123,,9752,94.0,13148,65.3,3,"web/code-first; client instructions","authenticated TGStat","PASS_DIRECT","Mandatory gate and cross-promo; reconstructed-start percentage"
2026-07-12,Nosok VPN,@nosokVPN,204076,,24913,13.9,83294,40.8,2,"direct install matrix and fallback","authenticated TGStat","PASS_DIRECT","97 mentions in 14 channels; July placement reach 568765"
2026-07-12,VPN Platina,@vpnplatina,109647,,13536,14.1,43641,39.8,12,"external-client/reseller surface","authenticated TGStat","PASS_DIRECT","Referral/franchise/off-platform acquisition likely; sparse public attraction rows"
2026-07-12,Luma VPN,@lumavpn_landing,18201,,12127,199.7,116213,638.5,7,"external clients through proxy funnel","authenticated TGStat","ANOMALY","Proxy/repost class; do not compare ERR or reach with normal channels"
2026-07-12,4ebur,@net4ebur,7272,,-41,-0.6,2847,39.2,2,"Mini App plus stores","authenticated TGStat","PASS_DIRECT","Flat/declining channel"
2026-07-12,MORI,@MoriVpnOfficial,90578,,-2940,-3.1,28186,31.1,22,"Mini App plus external clients","authenticated TGStat","PASS_DIRECT","Channel shrinking in the snapshot month"
2026-07-12,NashVPN,@nashvpnnews,70336,,-996,-1.4,28253,40.2,37,"multi-platform instructions","authenticated TGStat","PASS_DIRECT","High cadence did not prevent decline"
2026-07-12,OpenGate,@opengate_community,24179,,608,2.6,11007,45.5,4,"bot-first service","authenticated TGStat","PASS_DIRECT","Low-pressure service/support model"
2026-07-12,GROZA,@VPN_GROZA_NEWS,92580,,2291,2.5,23745,25.6,4,"mobile bypass/external clients","authenticated TGStat","PASS_DIRECT","Aggressive claims and trial reactivation"
2026-07-12,HitVPN,@hitvpn_news,4607630,3752595,386200,9.1,2236043,48.5,,"HitRay 10M+; HitVPN 1M+","public TGStat widget plus Telegram","PASS_PUBLIC","16 posts in two months; 8 giveaway/result posts"
2026-07-12,Shuka,@ShukaVPN,1291035,496996,53455,4.3,,,,"MantaRay 10K+ generic client","public TGStat widget plus Telegram","INVALID_REACH","One release post in two months; mandatory channel gate; widget reach invalid"
2026-07-12,Atlanta,@AtlantaVPN,801830,319740,40909,5.4,210089,26.2,,"own Android beta 1K+ plus external clients","public TGStat widget plus Telegram","PASS_PUBLIC","Paid creator/affiliate recruitment; full post-month count unavailable"
2026-07-12,Sota,@sota,794734,436732,105221,15.3,,,,"Sota Connect 500K+","public TGStat widget","INSUFFICIENT_REACH","Bot buttons not inspected; source-of-growth not exposed"
2026-07-12,Batya,@mybatyavpn,185484,176626,11776,6.8,81710,44.1,,"Batya Android 1M+","public TGStat widget plus Telegram","PASS_PUBLIC","32 events in two months; 21 giveaway/live/result events"
2026-07-12,Lagom,@LagomVPN,167258,218394,21990,15.1,108701,64.9,,"Lagom Android 5M+","public TGStat widget","PASS_PUBLIC","App-backed growth; bot buttons not inspected"
2026-07-12,BlancVPN,@blancvpn,97041,36333,547,0.6,61334,63.2,,"BlancVPN Android 100K+","public TGStat widget plus channel","PASS_PUBLIC","Seven product-led posts in two months; growth nearly flat"
2026-07-12,GenVPN,@vpngen,69612,11887,-301,-0.4,20604,29.6,,"legacy Android 50K+","public TGStat widget plus channel","PASS_PUBLIC","47 posts in two months; current momentum weak"
2026-07-12,Durev,@DurevVPN,58111,193755,2205,3.9,55695,95.8,,"Durev Android 100K+","public TGStat widget plus Telegram","PASS_PUBLIC","Bot-led scale; rare posts inflate ERR"
