"plan","id","phase","summary","status","index","evidence","next_action"
"REL","PAY-001","P05","Remove duplicate FreeKassa payment URL parser","LOCALLY_PROVED","I3","WO-007 007A closure; parser moved to payment_providers.py, compatibility export preserved, source regression proves one definition and no root implementation; payment matrix PASS","Retain exact deployed compatibility-route evidence before I4; FreeKassa remains disabled"
"REL","PAY-002","P05","Make missing FreeKassa checkout URL fail closed; never build oa=0","LOCALLY_PROVED","I3","WO-007 007A closure; known response shapes require exact configured HTTPS host and missing/http/userinfo/cross-host/no-path values return stable 502; source regression proves no oa=0 fallback","Retain exact configured-host/provider response evidence before I4; do not enable FreeKassa from this local proof"
"REL","REL-001","P01","Protect promotion branches with required checks and reviewed provenance","CANDIDATE33_GATE_F_BLOCKED_2_17_0_HOSTED_ACCESS_OWNER_SOLO","I3","WO-013GT binds private signed candidate.33 and all 19 Gate F pointers; supply and release docs pass. Three platform/client jobs remain zero-step BLOCKED_BY_ACCESS_GITHUB_BILLING while release-index source-contract, signer and receipt jobs pass with real steps. OWNER_SOLO_EXCEPTION and promotion_authorized=false remain explicit.","Restore the three hosted jobs and complete exact candidate.33 Gates A-E, device, origin, rollback and approval rows before any separately authorized Gate G"
"REL","REL-002","P01","Add mandatory client GitHub Actions release gates","CANDIDATE_PROVED_HOSTED_CLIENT_RELEASE_GATE","I4","WO-003B/013AC/013AE; exact candidate.3 artifact source ac22825e857a313c9e4eba61030eb548d6346ead passed PR/post-merge Release v2 runs 33031007292/33032033161; clean-host control PR/post-merge runs 33032654414/33033052385 pass and exact installer/manifest pass hosted clean-Windows run 33033294889","Retain same-byte public promotion and post-promotion gate readback before I5"
"REL","WIN-001","P03","Enforce Windows single instance with typed forwarding","CANDIDATE33_EXACT_SINGLETON_TYPED_FORWARDING_FOCUS_PASS","I4","WO-013GT proves exact candidate.33 update to 11/11 installed identity. Plain and typed second launches each exit 0, retain one original PID, forward activation and return foreground focus; service stays Running/Auto/LocalSystem and the disconnected route/DNS contour is unchanged.","Retain same-byte public artifact identity and post-promotion Windows readback before I5; execute connected default/AWG/Smart-DNS and lifecycle rows separately"
"REL","WIN-002","P03","Move privilege from full Flutter process to constrained helper/service","CANDIDATE32_CLEAN_PUBLIC_MIGRATION_AND_POSTMIGRATION_UI_IPC_PASS_POSTPROMOTION_OPEN","I4","WO-013GM/013GN prove exact candidate.32 clean machine install, Auto LocalSystem service and ordinary non-elevated UI/trusted IPC. WO-013GO/013GP prove exact public per-user 1.1.6 package migration to 11/11 machine files, legacy cleanup, then ordinary migrated-state UI/trusted IPC/disconnected initialize. Full-process elevation remains absent.","Retain public same-byte promotion and post-promotion service/IPC observation before I5; non-owner/admin and connected network recovery remain separate gates"
"REL","WIN-003","P11","Retain clean-host Windows TUN and DNS proof for exact candidate","CANDIDATE32_CLEAN_INSTALL_BOOT_UI_IPC_PUBLIC116_MIGRATION_AND_POSTRUNTIME_PASS_MANAGED_TUN_DNS_OPEN","I4","WO-013GM/013GN prove exact candidate.32 clean install, boot-before-login, ordinary UI/trusted IPC and disconnected initialize. WO-013GO/013GP prove exact public 1.1.6 per-user package migration plus post-migration ordinary UI/trusted IPC/disconnected initialize with legacy cleanup and unchanged route/DNS. Connected TUN/DNS remain open.","Run successor candidate managed default/AWG/Smart-DNS, connected recovery/uninstall, Windows 10, sleep, SmartScreen and IPv6/leak matrices"
"REL","REL-003","P01","Remove allow-missing-client-root from release-bound portal gates","CANDIDATE_PROVED_HOSTED_PLATFORM_RELEASE_GATE","I4","WO-003B/013AC/013AE; strict platform Release v2 contract is bound to candidate.3 platform eafaca3e64c0619dea7f58fc9c430682b4520559; post-merge Guardrails/Release v2 runs 33029917507/33029917498 pass with no release-bound missing-client-root allowance","Retain same-byte public promotion and post-promotion contract readback before I5"
"REL","VER-001","P01","Reconcile component, UI, API and documentation versions","LOCALLY_PROVED","I3","WO-003H; client package/Core parity and strict-v2 API/UI projection PASS; four active platform owners are validated from client release-handoff truth; six completed old-version waves are EVIDENCE; client full gate, platform 89/89, API 6/6, widget 1/1 PASS","Retain clean hosted cross-repository run, exact-candidate artifact identity and deployed API/UI/doc readback before I4"
"REL","CONTRACT-001","P06","Centralize product facts and validate all consumers","LOCALLY_PROVED","I3","WO-008A and WO-008H; platform product/public/commercial/tariff owners project digest-pinned JSON and typed Dart into active client; read-only drift rejection, runtime-consumer guard, 25 platform tests, client seed gate/analyze and focused Flutter runtime test PASS","Retain exact clean candidate digest/readback and deployed consumer evidence before I4; server remains price, promo, referral-account and payment authority"
