ledger_id,canonical_id,subsystem,surface,feature,route_or_trigger,defect_area,defect_or_issue,fix_status,retest_status,story_status,retest_proof_status,closure_status,proof_ref_count,proof_refs,next_action,updated_at
DEFECT-FIX-001,TELEGRAM_BOTS-TG-MAIN-021,Telegram bots,Main bot,Wheel,wheel; wheel_spin,telegram_ux_logic,Initial result: Live Telegram Desktop button smoke exposed a navigation or pending-input issue; see linked issue rows.,Fixed in code and covered by regression tests.,"Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",Retest passed,direct_test_ref_passed,closed_retested,3,tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py,Keep covered in regression suite,2026-06-27
DEFECT-FIX-002,TELEGRAM_BOTS-TG-MAIN-024,Telegram bots,Main bot,Gift cards,menu_more; gift_cards; buy_giftcard_*; gift_redeem_prompt; /redeem compatibility,telegram_ux_logic,Initial result: Live Telegram Desktop button smoke exposed a navigation or pending-input issue; see linked issue rows.,Fixed in code and covered by regression tests.,"Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",Retest passed,direct_test_ref_passed,closed_retested,3,tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py,Keep covered in regression suite,2026-06-27
DEFECT-FIX-003,TELEGRAM_BOTS-TG-MAIN-025,Telegram bots,Main bot,Promo codes,promo_activate_prompt; promo_help; /promo CODE compatibility,telegram_ux_logic,Initial result: Live Telegram Desktop button smoke exposed a navigation or pending-input issue; see linked issue rows.,Fixed in code and covered by regression tests.,"Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",Retest passed,direct_test_ref_passed,closed_retested,3,tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py,Keep covered in regression suite,2026-06-27
DEFECT-FIX-004,TELEGRAM_BOTS-TG-ADMIN-010,Telegram bots,Main bot admin,Legacy link broadcast,admin_broadcast_links; /broadcast,telegram_ux_logic,Bulk update actions violated app-first/manual-link-as-fallback UX by pushing bearer links to all active users. Initial result: Initial targeted regression failed: both bulk handlers built and sent raw personal subscription links.,Fixed in portal_bot/bot.py: bulk notices now use app/cabinet update text plus explicit recovery buttons.,"Regression passed; app/bot parity smoke passed; focused suite passed: 63 passed, 2 subtests passed.",Retest passed,direct_test_ref_passed,closed_retested,3,tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_api_auth_and_tickets.py,Keep covered in regression suite,2026-06-27
DEFECT-FIX-005,TELEGRAM_BOTS-TG-FEEDBACK-001,Telegram bots,Feedback bot,Feedback intake,feedbackbot /start; fb_new; fb_back_home; text,telegram_ux_logic,Initial result: Live Telegram Desktop button smoke exposed a navigation or pending-input issue; see linked issue rows.,Fixed in code and covered by regression tests.,"Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",Retest passed,direct_test_ref_passed,closed_retested,3,tests/test_telegram_story_contracts.py; tests/test_feedbackbot_moderation.py; tests/test_reviews_username_masking.py,Keep covered in regression suite,2026-06-27
DEFECT-FIX-006,WEBAPP-WEB-001,WebApp and Admin,Cabinet auth,Root cabinet entry,/,webapp_user_flow,D-001; D-005,Fixed,Passed 2026-06-26,Retest passed,direct_test_ref_passed,closed_retested,3,webapp/e2e/cabinet-flow.spec.ts; webapp/e2e/telegram-login-refresh.spec.ts; tests/test_frontend_text_integrity.py,Keep covered in regression suite,2026-06-27
DEFECT-FIX-007,WEBAPP-WEB-005,WebApp and Admin,Cabinet auth,Telegram login,/,webapp_user_flow,D-004,Fixed,Passed 2026-06-26,Retest passed,direct_test_ref_passed,closed_retested,4,webapp/e2e/cabinet-flow.spec.ts; webapp/e2e/telegram-login-refresh.spec.ts; webapp/e2e/oidc-fallback.spec.ts; tests/test_frontend_text_integrity.py,Keep covered in regression suite,2026-06-27
DEFECT-FIX-008,WEBAPP-WEB-013,WebApp and Admin,Subscription,Manual connection fallback,/subscription/#manual-setup,webapp_user_flow,D-003,Fixed,Passed 2026-06-26,Retest passed,direct_test_ref_passed,closed_retested,2,webapp/e2e/cabinet-flow.spec.ts; tests/test_frontend_text_integrity.py,Keep covered in regression suite,2026-06-27
DEFECT-FIX-009,WEBAPP-WEB-019,WebApp and Admin,Settings,Email linking,/settings/#email-link,webapp_user_flow,D-002; D-005,Fixed,Passed 2026-06-26,Retest passed,direct_test_ref_passed,closed_retested,3,webapp/e2e/cabinet-flow.spec.ts; webapp/e2e/settings-email-link.spec.ts; tests/test_frontend_text_integrity.py,Keep covered in regression suite,2026-06-27
DEFECT-FIX-010,WEBAPP-WEB-020,WebApp and Admin,Settings,Telegram linking,/settings/,webapp_user_flow,D-005,Fixed,Passed 2026-06-26,Retest passed,direct_test_ref_passed,closed_retested,4,webapp/e2e/cabinet-flow.spec.ts; webapp/e2e/telegram-login-refresh.spec.ts; webapp/e2e/settings-email-link.spec.ts; tests/test_frontend_text_integrity.py,Keep covered in regression suite,2026-06-27
