requirement_id,requirement,status,blocks_goal_completion,blocker_relationship,evidence_refs,remaining_gap,blocker_ids
REQ-001,"Inventory product features and user stories across backend, bots, WebApp/admin, marketing, scripts, and client app",locally_proven,no,none,docs/developer/pokrov-canonical-feature-tracker.csv; docs/developer/pokrov-canonical-feature-tracker.md; tests/test_story_test_evidence_audit.py::test_canonical_tracker_markdown_summary_matches_csv_artifacts; tests/test_story_test_evidence_audit.py::test_work_order_index_imported_coverage_matches_tracker_csv,None for current source-derived story rows,
REQ-002,Record user story and expected behavior for every canonical row,locally_proven,no,none,docs/developer/pokrov-canonical-feature-tracker.csv; docs/developer/pokrov-canonical-feature-tracker.md; tests/test_story_test_evidence_audit.py::test_canonical_tracker_story_contract_fields_are_populated,Keep guard current when new rows are added,
REQ-003,"Keep one canonical status table for feature state, defects, fixes, and retests",locally_proven,no,related_context,docs/developer/pokrov-canonical-feature-tracker.csv; docs/developer/pokrov-story-test-evidence-audit.csv; docs/developer/pokrov-defect-fix-retest-ledger.csv; tests/test_story_test_evidence_audit.py::test_canonical_tracker_status_fields_are_normalized; tests/test_story_test_evidence_audit.py::test_story_retest_proof_status_is_direct_or_manual; tests/test_story_test_evidence_audit.py::test_defect_fix_retest_ledger_matches_canonical_defects,Owner-only row remains intentionally manual,Q-004
REQ-004,Keep canonical source provenance concrete and resolvable,locally_proven,no,none,tests/test_story_test_evidence_audit.py::test_canonical_source_trackers_are_resolvable; tests/test_story_test_evidence_audit.py::test_canonical_code_evidence_source_refs_exist; tests/test_story_test_evidence_audit.py::test_canonical_code_evidence_uses_concrete_source_refs; tests/test_story_test_evidence_audit.py::test_work_order_current_output_counts_match_csv_artifacts,Keep generated labels explicit and keep story evidence on concrete files when new generated tracker rows are added,
REQ-005,Keep explicit source line refs in current file bounds,locally_proven,no,none,docs/developer/pokrov-canonical-feature-tracker.csv; docs/developer/pokrov-owner-gated-scenarios.csv; docs/developer/pokrov-owner-gated-results.csv; docs/developer/pokrov-open-questions.csv; tests/test_story_test_evidence_audit.py::test_canonical_line_number_source_refs_are_in_bounds,Line bounds do not prove semantic proximity after future edits,
REQ-006,Keep generated audit artifacts reproducible,locally_proven,no,none,tests/test_story_test_evidence_audit.py::test_generated_story_evidence_artifacts_match_canonical_files; tests/test_story_test_evidence_audit.py::test_generated_defect_fix_retest_ledger_matches_canonical_files; tests/test_code_function_inventory.py::test_generated_code_inventory_artifacts_match_canonical_files; tests/test_code_function_inventory.py::test_generated_private_helper_coverage_artifacts_match_canonical_files,Keep generator defaults and canonical CSV outputs synchronized when source scope changes,
REQ-007,Keep Markdown summaries synchronized with CSV artifacts,locally_proven,no,none,tests/test_story_test_evidence_audit.py::test_canonical_tracker_markdown_summary_matches_csv_artifacts; tests/test_story_test_evidence_audit.py::test_story_evidence_markdown_summary_matches_csv; tests/test_story_test_evidence_audit.py::test_defect_fix_retest_markdown_summary_matches_csv; tests/test_story_test_evidence_audit.py::test_entrypoint_coverage_markdown_summary_matches_csv; tests/test_code_function_inventory.py::test_code_inventory_markdown_summary_matches_csv; tests/test_code_function_inventory.py::test_symbol_coverage_markdown_summary_matches_csv; tests/test_code_function_inventory.py::test_private_helper_coverage_markdown_summary_matches_csv,Extend guards when new summary tables become canonical,
REQ-008,Inventory every low-level function/class/method/source symbol,locally_proven,no,none,docs/developer/pokrov-code-function-inventory.csv; docs/developer/pokrov-code-function-inventory.md; tests/test_code_function_inventory.py::test_code_inventory_markdown_summary_matches_csv; tests/test_code_function_inventory.py::test_generated_code_inventory_artifacts_match_canonical_files,Owner accepted the current Q-001 story/symbol-tier approach on 2026-06-28; keep inventory guards current when source scope changes,
REQ-009,Classify every source symbol into an explicit coverage/status tier and behavior-preservation note,locally_proven,no,related_context,docs/developer/pokrov-symbol-coverage-audit.csv; docs/developer/pokrov-symbol-coverage-audit.md; tests/test_code_function_inventory.py::test_symbol_coverage_markdown_summary_matches_csv; tests/test_code_function_inventory.py::test_symbol_coverage_rows_have_expected_behavior_from_code; tests/test_code_function_inventory.py::test_generated_private_inventory_tier_contains_only_private_non_entrypoints,Manual/runtime tiers still require platform or owner evidence before runtime claims,Q-004
REQ-010,Provide an owner decision packet for Q-001,locally_documented_and_guarded,no,none,docs/developer/pokrov-coverage-policy-decision-guide.md; docs/developer/pokrov-private-helper-coverage.csv; docs/developer/pokrov-owner-answer-sheet.md; tests/test_story_test_evidence_audit.py::test_open_questions_ledger_tracks_owner_blockers; tests/test_code_function_inventory.py::test_private_helper_coverage_matrix_matches_private_inventory_only,None for Q-001; owner accepted `ACCEPT_STORY_AND_SYMBOL_TIERS` on 2026-06-28,
