canonical_id,subsystem,source_tracker,source_story_id,surface,route_or_trigger,feature,user_story,expected_behavior,code_evidence,canon_guardrails,test_method,story_status,latest_result,defects_or_issues,fix_status,retest_status,owner_or_access_note,next_action,updated_at
TELEGRAM_BOTS-TG-MAIN-001,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-001,Main bot,/start,Entry and identity,"As a new Telegram user, I can start the bot and choose the right next step.","On /start without a special argument, the bot creates or finds the user context, clears stale pending states where possible, and presents the POKROV welcome path with app-first choices and ToS gating before purchases or code activation.",portal_bot/bot_user_handlers.py:14,"App-first and consumer-first. Telegram is a companion/linking surface, not the primary client.",Unit/static: simulate /start variants; verify text controls and no unsupported stable/store claims. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-002,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-002,Main bot,/start returning user; back; noop,Entry and identity,"As a returning user, I can reopen the bot without losing my account state.","The bot reuses the existing user, attempts safe message cleanup, answers inert/no-op callbacks without state changes, shows the main menu with current access actions, and does not reset subscription or reward state.","portal_bot/bot_user_handlers.py:14;portal_bot/bot_user_handlers.py:389;portal_bot/bot.py:3390",Existing subscription state remains source of truth in DB and panel sync.,Unit: existing user /start keeps expiry/sub_type and renders main actions. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-003,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-003,Main bot,/start ref_*; /start SWAZ* legacy referral,Referral and campaign entry,"As a user opening a referral deep link, I can be attributed to the inviter before purchase.","The bot recognizes referral start arguments, records referral intent, avoids self-referral, and later awards referral bonus only after the referred user makes a qualifying first purchase or gift activation.","portal_bot/bot_user_handlers.py:14;portal_bot/bot_user_handlers.py:1257;portal_bot/bot_payment_handlers.py:249",Rewards must not imply access until a qualifying action is complete.,"Unit: referral code attribution, self-referral rejection, first-purchase bonus path. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-004,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-004,Main bot,/start app/link/web_login args,App linking,"As an app user, I can link my app account to Telegram from a deep link.","The start argument is parsed as an app/web-login token when applicable, the app account is bound to the Telegram identity, username sync is attempted, and the user is returned to cabinet/app continuation without creating a conflicting second identity.",portal_bot/bot_user_handlers.py:14,Automatic username sync is primary; manual sync is recovery only.,"Unit/static: token parse, linked_telegram_id update, duplicate-account avoidance. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py; portal_bot/tests/test_telegram_oidc_auth.py; tests/test_api_auth_and_tickets.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-005,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-005,Main bot,/start opening_bonus; campaign; promo; friend gift,Campaign entry,"As a user following a promo, opening-bonus, or friend-gift link, I can continue through the required gate.","The bot detects campaign actions, stores pending automatic promo or friend gift when ToS is required, applies eligible rewards after acceptance, and refuses exhausted, expired, or mismatched campaign codes.","portal_bot/bot_user_handlers.py:14;portal_bot/bot_user_handlers.py:484;portal_bot/bot_operator_handlers.py:554",No unsupported free-access claims; rewards must be eligibility checked.,"Unit: pending promo before ToS, accept_tos resumes, invalid/expired campaign blocked. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-006,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-006,Main bot,charge; charge_long; accept_tos; show_key; /redeem; /promo,Terms gate,"As a user, I must accept the offer before purchases, trials, promo activation, or gifts that change access.","Purchase menus, manual key access, gift redemption, and promo activation check ToS and route the user to acceptance before continuing; accepting ToS resumes pending bonus/promo flows where code supports it.","portal_bot/bot_user_handlers.py:411;portal_bot/bot_user_handlers.py:460;portal_bot/bot_user_handlers.py:484;portal_bot/bot_user_handlers.py:621;portal_bot/bot_user_handlers.py:1804;portal_bot/bot_operator_handlers.py:554",Legal/offering gate must precede commercial or access-changing behavior.,Unit: each gated path denies before ToS and succeeds/resumes after ToS. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-007,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-007,Main bot,charge; charge_long; charge_stars; buy_*,Tariffs and checkout,"As a user, I can view current subscription options and select a plan.","The bot shows regular, long, and Stars tariff menus from code constants, hides trial when the user already has paid access, and presents payment method choices for paid tariffs.","portal_bot/bot_user_handlers.py:411;portal_bot/bot_user_handlers.py:460;portal_bot/bot_user_handlers.py:442;portal_bot/bot_payment_handlers.py:14",Trial is 5 days; public claims must match configured tariffs.,Unit/static: tariff rendering reflects TARIFFS and active paid users do not see trial CTA. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-008,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-008,Main bot,buy_trial; trial_direct; simple_step3,Trial,"As an eligible user, I can activate the 5-day trial once.","Trial activation refuses active paid/free users, considers the channel bonus offer first when eligible, and creates a trial subscription only after checks pass.","portal_bot/bot_payment_handlers.py:14;portal_bot/bot_admin_handlers.py:2071",Trial duration is 5 days.,Unit: new user gets trial; active user refused; channel bonus pre-offer behavior. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-009,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-009,Main bot,pay_rub_*; pay_rub:*,RUB checkout,"As a user paying in RUB, I can receive a provider checkout link for the selected plan.","The bot finds the active RUB provider, creates a pay attempt, generates a checkout URL, shows amount/provider/status controls, and gives a support fallback if provider creation fails.",portal_bot/bot_payment_handlers.py:121,Lava.top beta evidence exists; no unsupported production-maturity claims.,"Unit with provider stub: success URL, disabled provider fallback, failed provider fallback. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py; tests/test_api_payments_callbacks.py; tests/test_lavatop_payment_providers.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-010,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-010,Main bot,pay_stars_*; pre_checkout; successful_payment,Telegram Stars checkout,"As a user paying with Telegram Stars, I can receive a native Stars invoice.","If Stars checkout is enabled, the bot creates a pay attempt and sends an XTR invoice for the selected tariff; if disabled, it tells the user to use RUB/support instead.","portal_bot/bot_payment_handlers.py:40;portal_bot/bot_payment_handlers.py:187",Payment options must be honest about enabled providers.,"Unit: disabled gate, invoice payload shape, pre-checkout ok, success handler subscription. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py; tests/test_api_payments_callbacks.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
