plan,id,phase,owner_record,mapping_status
REL,PAY-001,P05,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,PAY-002,P05,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,REL-001,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,REL-002,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,WIN-001,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,WIN-002,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,WIN-003,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,REL-003,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,VER-001,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,CONTRACT-001,P06,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,CORE-001,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,TEST-001,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,AND-001,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,AND-002,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,UPD-001,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,DEP-001,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,API-001,P05,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,HTTP-001,P05,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,ARCH-001,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,ARCH-002,P05,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,ARCH-003,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,LNX-001,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,AND-003,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,AND-004,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,AND-005,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,WIN-004,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,WIN-005,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,DOC-001,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,REPO-001,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,STATE-001,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,OBS-001,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,ABI-001,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,UX-001,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,UX-002,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,PERF-001,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,SEC-001,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL,MIG-001,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_GATE,GATE-A,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_GATE,GATE-B,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_GATE,GATE-C,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_GATE,GATE-D,P05,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_GATE,GATE-E,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_GATE,GATE-F,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-01,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-02,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-03,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-04,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-05,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-06,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-07,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
