entry_id,entry_type,subsystem,surface,trigger_or_path,handler_or_component,code_evidence,coverage_note,updated_at
API-001,fastapi_route,Backend API,health,GET /api/health,health,portal_bot/api.py:5309,Route inventory row generated; map to canonical story/test.,2026-06-27
API-002,fastapi_route,Backend API,internal,POST /api/internal/observer/batches,api_internal_observer_batches,portal_bot/api.py:5314,Route inventory row generated; map to canonical story/test.,2026-06-27
API-003,fastapi_route,Backend API,public,GET /api/public/plans,public_plans,portal_bot/api.py:5364,Route inventory row generated; map to canonical story/test.,2026-06-27
API-004,fastapi_route,Backend API,public,GET /api/public/catalog,public_catalog,portal_bot/api.py:5375,Route inventory row generated; map to canonical story/test.,2026-06-27
API-005,fastapi_route,Backend API,public,GET /api/public/live-updates,public_live_updates,portal_bot/api.py:5385,Route inventory row generated; map to canonical story/test.,2026-06-27
API-006,fastapi_route,Backend API,auth,POST /api/auth/telegram/web-login,auth_telegram_web_login,portal_bot/api.py:5427,Route inventory row generated; map to canonical story/test.,2026-06-27
API-007,fastapi_route,Backend API,auth,GET /api/auth/telegram/oidc/start,auth_telegram_oidc_start,portal_bot/api.py:5474,Route inventory row generated; map to canonical story/test.,2026-06-27
API-008,fastapi_route,Backend API,auth,POST /api/auth/telegram/oidc/finish,auth_telegram_oidc_finish,portal_bot/api.py:5488,Route inventory row generated; map to canonical story/test.,2026-06-27
API-009,fastapi_route,Backend API,auth,GET /api/auth/email/status,auth_email_status,portal_bot/api.py:5523,Route inventory row generated; map to canonical story/test.,2026-06-27
API-010,fastapi_route,Backend API,auth,POST /api/auth/email/register,auth_email_register,portal_bot/api.py:5528,Route inventory row generated; map to canonical story/test.,2026-06-27
API-011,fastapi_route,Backend API,auth,POST /api/auth/email/verify,auth_email_verify,portal_bot/api.py:5578,Route inventory row generated; map to canonical story/test.,2026-06-27
API-012,fastapi_route,Backend API,auth,POST /api/auth/email/login,auth_email_login,portal_bot/api.py:5620,Route inventory row generated; map to canonical story/test.,2026-06-27
API-013,fastapi_route,Backend API,auth,POST /api/auth/email/recovery/start,auth_email_recovery_start,portal_bot/api.py:5666,Route inventory row generated; map to canonical story/test.,2026-06-27
API-014,fastapi_route,Backend API,auth,POST /api/auth/email/recovery/finish,auth_email_recovery_finish,portal_bot/api.py:5702,Route inventory row generated; map to canonical story/test.,2026-06-27
API-015,fastapi_route,Backend API,auth,GET /api/auth/session,auth_session,portal_bot/api.py:5750,Route inventory row generated; map to canonical story/test.,2026-06-27
API-016,fastapi_route,Backend API,client,POST /api/client/session/start-trial,client_start_trial,portal_bot/api.py:5805,Route inventory row generated; map to canonical story/test.,2026-06-27
API-017,fastapi_route,Backend API,client,GET /api/client/route-policy,client_route_policy,portal_bot/api.py:5929,Route inventory row generated; map to canonical story/test.,2026-06-27
API-018,fastapi_route,Backend API,client,POST /api/client/route-policy,client_update_route_policy,portal_bot/api.py:5946,Route inventory row generated; map to canonical story/test.,2026-06-27
API-019,fastapi_route,Backend API,client,GET /api/client/locations,client_locations_catalog,portal_bot/api.py:6372,Route inventory row generated; map to canonical story/test.,2026-06-27
API-020,fastapi_route,Backend API,client,GET /api/client/subscription,client_subscription,portal_bot/api.py:6468,Route inventory row generated; map to canonical story/test.,2026-06-27
API-021,fastapi_route,Backend API,client,GET /api/client/devices,client_devices,portal_bot/api.py:6496,Route inventory row generated; map to canonical story/test.,2026-06-27
API-022,fastapi_route,Backend API,client,DELETE /api/client/devices/{device_id},client_device_revoke,portal_bot/api.py:6519,Route inventory row generated; map to canonical story/test.,2026-06-27
API-023,fastapi_route,Backend API,client,GET /api/client/notifications,client_notifications,portal_bot/api.py:6537,Route inventory row generated; map to canonical story/test.,2026-06-27
API-024,fastapi_route,Backend API,client,POST /api/client/notifications/read,client_notifications_read,portal_bot/api.py:6561,Route inventory row generated; map to canonical story/test.,2026-06-27
API-025,fastapi_route,Backend API,client,POST /api/client/push/register,client_push_register,portal_bot/api.py:6586,Route inventory row generated; map to canonical story/test.,2026-06-27
API-026,fastapi_route,Backend API,client,POST /api/client/support/assistant,client_support_assistant,portal_bot/api.py:6616,Route inventory row generated; map to canonical story/test.,2026-06-27
API-027,fastapi_route,Backend API,client,GET /api/client/profile/managed,client_managed_profile,portal_bot/api.py:6678,Route inventory row generated; map to canonical story/test.,2026-06-27
API-028,fastapi_route,Backend API,client,GET /api/client/promo-slots,client_promo_slots,portal_bot/api.py:6787,Route inventory row generated; map to canonical story/test.,2026-06-27
API-029,fastapi_route,Backend API,client,POST /api/client/nodes/latency-samples,client_nodes_latency_samples,portal_bot/api.py:6815,Route inventory row generated; map to canonical story/test.,2026-06-27
API-030,fastapi_route,Backend API,client,GET /api/client/warp/status,client_warp_status,portal_bot/api.py:7002,Route inventory row generated; map to canonical story/test.,2026-06-27
API-031,fastapi_route,Backend API,client,POST /api/client/warp/consent,client_warp_consent,portal_bot/api.py:7011,Route inventory row generated; map to canonical story/test.,2026-06-27
API-032,fastapi_route,Backend API,client,POST /api/client/warp/revoke,client_warp_revoke,portal_bot/api.py:7052,Route inventory row generated; map to canonical story/test.,2026-06-27
API-033,fastapi_route,Backend API,client,POST /api/client/warp/rotate,client_warp_rotate,portal_bot/api.py:7079,Route inventory row generated; map to canonical story/test.,2026-06-27
API-034,fastapi_route,Backend API,client,POST /api/client/warp/events,client_warp_events,portal_bot/api.py:7136,Route inventory row generated; map to canonical story/test.,2026-06-27
API-035,fastapi_route,Backend API,client,POST /api/client/telegram/link,client_telegram_link_start,portal_bot/api.py:7165,Route inventory row generated; map to canonical story/test.,2026-06-27
API-036,fastapi_route,Backend API,payments,GET /api/payments/providers,rub_payment_providers,portal_bot/api.py:7519,Route inventory row generated; map to canonical story/test.,2026-06-27
API-037,fastapi_route,Backend API,payments,POST /api/payments/orders/create,rub_order_create,portal_bot/api.py:7524,Route inventory row generated; map to canonical story/test.,2026-06-27
API-038,fastapi_route,Backend API,payments,POST /api/payments/orders/create-public,rub_order_create_public,portal_bot/api.py:7554,Route inventory row generated; map to canonical story/test.,2026-06-27
API-039,fastapi_route,Backend API,payments,POST /api/payments/freekassa/orders/create,freekassa_order_create,portal_bot/api.py:7605,Route inventory row generated; map to canonical story/test.,2026-06-27
API-040,fastapi_route,Backend API,payments,POST /api/payments/freekassa/orders/create-public,freekassa_order_create_public,portal_bot/api.py:7624,Route inventory row generated; map to canonical story/test.,2026-06-27
API-041,fastapi_route,Backend API,payments,GET /api/payments/freekassa/orders/{order_id},freekassa_order_get,portal_bot/api.py:7639,Route inventory row generated; map to canonical story/test.,2026-06-27
API-042,fastapi_route,Backend API,payments,POST /api/payments/freekassa/orders/{order_id}/refund,freekassa_order_refund,portal_bot/api.py:7666,Route inventory row generated; map to canonical story/test.,2026-06-27
API-043,fastapi_route,Backend API,payments,GET /api/payments/freekassa/currencies,freekassa_currencies,portal_bot/api.py:7690,Route inventory row generated; map to canonical story/test.,2026-06-27
API-044,fastapi_route,Backend API,payments,GET /api/payments/freekassa/currencies/{currency}/status,freekassa_currency_status,portal_bot/api.py:7701,Route inventory row generated; map to canonical story/test.,2026-06-27
API-045,fastapi_route,Backend API,admin,GET /api/admin/metrics/status,admin_metrics_status,portal_bot/api.py:7979,Route inventory row generated; map to canonical story/test.,2026-06-27
API-046,fastapi_route,Backend API,admin,GET /api/admin/funnel/summary,admin_funnel_summary,portal_bot/api.py:7995,Route inventory row generated; map to canonical story/test.,2026-06-27
API-047,fastapi_route,Backend API,admin,GET /api/admin/nodes/traffic,admin_nodes_traffic,portal_bot/api.py:8250,Route inventory row generated; map to canonical story/test.,2026-06-27
API-048,fastapi_route,Backend API,admin,GET /api/admin/metrics/timeseries,admin_metrics_timeseries,portal_bot/api.py:8299,Route inventory row generated; map to canonical story/test.,2026-06-27
API-049,fastapi_route,Backend API,reviews,GET /api/reviews,featured_reviews,portal_bot/api.py:8404,Route inventory row generated; map to canonical story/test.,2026-06-27
API-050,fastapi_route,Backend API,public,GET /api/public/social-proof,public_social_proof,portal_bot/api.py:8430,Route inventory row generated; map to canonical story/test.,2026-06-27
API-051,fastapi_route,Backend API,events,POST /api/events,api_track_event,portal_bot/api.py:8454,Route inventory row generated; map to canonical story/test.,2026-06-27
API-052,fastapi_route,Backend API,funnel,POST /api/funnel/events,api_track_funnel_event,portal_bot/api.py:8471,Route inventory row generated; map to canonical story/test.,2026-06-27
API-053,fastapi_route,Backend API,connect,POST /api/connect/confirm,api_connect_confirm,portal_bot/api.py:8517,Route inventory row generated; map to canonical story/test.,2026-06-27
API-054,fastapi_route,Backend API,pay,POST /api/pay/attempts/start,api_pay_attempt_start,portal_bot/api.py:8525,Route inventory row generated; map to canonical story/test.,2026-06-27
API-055,fastapi_route,Backend API,offers,GET /api/offers/active,api_active_offer,portal_bot/api.py:8553,Route inventory row generated; map to canonical story/test.,2026-06-27
API-056,fastapi_route,Backend API,offers,POST /api/offers/{offer_id}/accept,api_accept_offer,portal_bot/api.py:8560,Route inventory row generated; map to canonical story/test.,2026-06-27
API-057,fastapi_route,Backend API,points,GET /api/points,api_points,portal_bot/api.py:8570,Route inventory row generated; map to canonical story/test.,2026-06-27
API-058,fastapi_route,Backend API,network,GET /api/network/probe,api_network_probe,portal_bot/api.py:8593,Route inventory row generated; map to canonical story/test.,2026-06-27
API-059,fastapi_route,Backend API,user,GET /api/user/{tg_id},user_data,portal_bot/api.py:8608,Route inventory row generated; map to canonical story/test.,2026-06-27
API-060,fastapi_route,Backend API,dashboard,GET /api/dashboard,dashboard_snapshot,portal_bot/api.py:8836,Route inventory row generated; map to canonical story/test.,2026-06-27
API-061,fastapi_route,Backend API,client,GET /api/client/apps,client_apps,portal_bot/api.py:8948,Route inventory row generated; map to canonical story/test.,2026-06-27
API-062,fastapi_route,Backend API,nodes,GET /api/nodes/status,nodes_status,portal_bot/api.py:9046,Route inventory row generated; map to canonical story/test.,2026-06-27
API-063,fastapi_route,Backend API,nodes,POST /api/nodes/diagnostics/run,nodes_run_diagnostics,portal_bot/api.py:9076,Route inventory row generated; map to canonical story/test.,2026-06-27
API-064,fastapi_route,Backend API,bonuses,GET /api/bonuses,bonuses,portal_bot/api.py:9106,Route inventory row generated; map to canonical story/test.,2026-06-27
API-065,fastapi_route,Backend API,bonuses,GET /api/bonuses/summary,bonuses_summary,portal_bot/api.py:9498,Route inventory row generated; map to canonical story/test.,2026-06-27
API-066,fastapi_route,Backend API,bonuses,GET /api/bonuses/referral/summary,bonuses_referral_summary,portal_bot/api.py:9512,Route inventory row generated; map to canonical story/test.,2026-06-27
API-067,fastapi_route,Backend API,bonuses,GET /api/bonuses/history,bonuses_history,portal_bot/api.py:9526,Route inventory row generated; map to canonical story/test.,2026-06-27
API-068,fastapi_route,Backend API,bonuses,GET /api/bonuses/wheel/state,bonuses_wheel_state,portal_bot/api.py:9544,Route inventory row generated; map to canonical story/test.,2026-06-27
API-069,fastapi_route,Backend API,bonuses,POST /api/bonuses/wheel/spin,bonuses_wheel_spin,portal_bot/api.py:9558,Route inventory row generated; map to canonical story/test.,2026-06-27
API-070,fastapi_route,Backend API,bonuses,GET /api/bonuses/calendar,bonuses_calendar,portal_bot/api.py:9632,Route inventory row generated; map to canonical story/test.,2026-06-27
API-071,fastapi_route,Backend API,bonuses,POST /api/bonuses/calendar/checkin,bonuses_calendar_checkin,portal_bot/api.py:9646,Route inventory row generated; map to canonical story/test.,2026-06-27
API-072,fastapi_route,Backend API,channel,POST /api/channel/subscriber/check,channel_subscriber_check,portal_bot/api.py:9724,Route inventory row generated; map to canonical story/test.,2026-06-27
API-073,fastapi_route,Backend API,bonuses,POST /api/bonuses/channel/claim,claim_channel_bonus,portal_bot/api.py:9747,Route inventory row generated; map to canonical story/test.,2026-06-27
API-074,fastapi_route,Backend API,promo,POST /api/promo/redeem,promo_redeem,portal_bot/api.py:9776,Route inventory row generated; map to canonical story/test.,2026-06-27
API-075,fastapi_route,Backend API,bonuses,POST /api/bonuses/promo/redeem,bonuses_promo_redeem,portal_bot/api.py:9897,Route inventory row generated; map to canonical story/test.,2026-06-27
API-076,fastapi_route,Backend API,gift,POST /api/gift/redeem,gift_redeem,portal_bot/api.py:9912,Route inventory row generated; map to canonical story/test.,2026-06-27
API-077,fastapi_route,Backend API,access-keys,GET /api/access-keys/status/{key},access_key_status,portal_bot/api.py:9991,Route inventory row generated; map to canonical story/test.,2026-06-27
API-078,fastapi_route,Backend API,access-keys,POST /api/access-keys/redeem,access_key_redeem,portal_bot/api.py:10135,Route inventory row generated; map to canonical story/test.,2026-06-27
API-079,fastapi_route,Backend API,redeem,POST /api/redeem,unified_redeem,portal_bot/api.py:10150,Route inventory row generated; map to canonical story/test.,2026-06-27
API-080,fastapi_route,Backend API,client,POST /api/client/cabinet-token,client_cabinet_token,portal_bot/api.py:10245,Route inventory row generated; map to canonical story/test.,2026-06-27
API-081,fastapi_route,Backend API,auth,POST /api/auth/cabinet-handoff/exchange,auth_cabinet_handoff_exchange,portal_bot/api.py:10297,Route inventory row generated; map to canonical story/test.,2026-06-27
API-082,fastapi_route,Backend API,reviews,POST /api/reviews,create_review,portal_bot/api.py:10396,Route inventory row generated; map to canonical story/test.,2026-06-27
API-083,fastapi_route,Backend API,feedback,POST /api/feedback,create_feedback,portal_bot/api.py:10422,Route inventory row generated; map to canonical story/test.,2026-06-27
API-084,fastapi_route,Backend API,tickets,GET /api/tickets,get_tickets,portal_bot/api.py:10457,Route inventory row generated; map to canonical story/test.,2026-06-27
API-085,fastapi_route,Backend API,tickets,POST /api/tickets/uploads,upload_ticket_attachment,portal_bot/api.py:10473,Route inventory row generated; map to canonical story/test.,2026-06-27
API-086,fastapi_route,Backend API,tickets,POST /api/tickets,create_user_ticket,portal_bot/api.py:10500,Route inventory row generated; map to canonical story/test.,2026-06-27
API-087,fastapi_route,Backend API,tickets,GET /api/tickets/{ticket_id},get_ticket,portal_bot/api.py:10538,Route inventory row generated; map to canonical story/test.,2026-06-27
API-088,fastapi_route,Backend API,tickets,POST /api/tickets/{ticket_id}/messages,add_ticket_user_message,portal_bot/api.py:10555,Route inventory row generated; map to canonical story/test.,2026-06-27
API-089,fastapi_route,Backend API,admin,GET /api/admin/summary,admin_summary,portal_bot/api.py:10602,Route inventory row generated; map to canonical story/test.,2026-06-27
API-090,fastapi_route,Backend API,admin,GET /api/admin/payments/orders,admin_payment_orders,portal_bot/api.py:10970,Route inventory row generated; map to canonical story/test.,2026-06-27
API-091,fastapi_route,Backend API,admin,POST /api/admin/payments/orders/{provider}/{order_id}/reconcile,admin_payment_order_reconcile,portal_bot/api.py:11016,Route inventory row generated; map to canonical story/test.,2026-06-27
API-092,fastapi_route,Backend API,admin,GET /api/admin/users,admin_users,portal_bot/api.py:11067,Route inventory row generated; map to canonical story/test.,2026-06-27
API-093,fastapi_route,Backend API,admin,GET /api/admin/users/{tg_id},admin_user_card,portal_bot/api.py:11377,Route inventory row generated; map to canonical story/test.,2026-06-27
API-094,fastapi_route,Backend API,admin,POST /api/admin/users/manual,admin_create_manual_user,portal_bot/api.py:11495,Route inventory row generated; map to canonical story/test.,2026-06-27
API-095,fastapi_route,Backend API,admin,POST /api/admin/users/{tg_id}/manual-extend,admin_extend_manual_user,portal_bot/api.py:11581,Route inventory row generated; map to canonical story/test.,2026-06-27
API-096,fastapi_route,Backend API,admin,POST /api/admin/users/{tg_id}/manual/extend,admin_extend_manual_user,portal_bot/api.py:11581,Route inventory row generated; map to canonical story/test.,2026-06-27
API-097,fastapi_route,Backend API,admin,POST /api/admin/users/{tg_id}/manual/block,admin_block_manual_user,portal_bot/api.py:11621,Route inventory row generated; map to canonical story/test.,2026-06-27
API-098,fastapi_route,Backend API,admin,POST /api/admin/users/{tg_id}/manual/regenerate-token,admin_regenerate_manual_token,portal_bot/api.py:11654,Route inventory row generated; map to canonical story/test.,2026-06-27
API-099,fastapi_route,Backend API,admin,POST /api/admin/users/{tg_id}/safe-delete,admin_safe_delete_test_user,portal_bot/api.py:11695,Route inventory row generated; map to canonical story/test.,2026-06-27
API-100,fastapi_route,Backend API,admin,POST /api/admin/users/{tg_id}/delete-test-user,admin_delete_test_user_compat,portal_bot/api.py:11745,Route inventory row generated; map to canonical story/test.,2026-06-27
API-101,fastapi_route,Backend API,admin,POST /api/admin/users/{tg_id}/keys/{node_code}/toggle,admin_user_key_toggle,portal_bot/api.py:11757,Route inventory row generated; map to canonical story/test.,2026-06-27
