canonical_id,method,path,family,story_status,test_ref_count,consumer_ref_count,test_refs,consumer_refs,next_action
BACKEND-API-001,GET,/api/health,Health and deploy smoke,Retest passed,2,8,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_remote_deploy_brain_static_sites.py,scripts\brain_runtime_app_download_smoke.py; scripts\remote_brain_patch_caddy_webapp_api_proxy.py; scripts\remote_deploy_brain_static_sites.py; scripts\remote_prepare_brain_public.py; scripts\ru_probe_runner.py; scripts\smoke_client_apps.py; scripts\verify_brain_ready.py; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-002,POST,/api/internal/observer/batches,Observer ingestion,Retest passed,2,2,tests\test_collect_xray_observer.py; tests\test_observer_api.py,scripts\collect_xray_observer.py; scripts\remote_install_node_observer.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-003,GET,/api/public/plans,Public content and social proof,Retest passed,2,1,tests\test_api_payments_callbacks.py; webapp\e2e\cabinet-flow.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-004,GET,/api/public/catalog,Public content and social proof,Retest passed,1,1,tests\test_backend_route_gap_coverage.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-005,GET,/api/public/live-updates,Public content and social proof,Retest passed,1,1,tests\test_api_payments_callbacks.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-006,POST,/api/auth/telegram/web-login,Telegram auth and OIDC,Retest passed,1,1,tests\test_api_auth_and_tickets.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-007,GET,/api/auth/telegram/oidc/start,Telegram auth and OIDC,Retest passed,2,1,portal_bot\tests\test_telegram_oidc_auth.py; webapp\e2e\oidc-fallback.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-008,POST,/api/auth/telegram/oidc/finish,Telegram auth and OIDC,Retest passed,1,1,portal_bot\tests\test_telegram_oidc_auth.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-009,GET,/api/auth/email/status,Email auth and recovery,Retest passed,5,2,portal_bot\tests\test_email_auth.py; tests\test_public_beta_post_deploy_probe.py; webapp\e2e\admin-gate.spec.ts; webapp\e2e\cabinet-flow.spec.ts; webapp\e2e\settings-email-link.spec.ts,scripts\public_beta_post_deploy_probe.py; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-010,POST,/api/auth/email/register,Email auth and recovery,Retest passed,2,1,portal_bot\tests\test_email_auth.py; webapp\e2e\settings-email-link.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-011,POST,/api/auth/email/verify,Email auth and recovery,Retest passed,2,1,portal_bot\tests\test_email_auth.py; webapp\e2e\settings-email-link.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-012,POST,/api/auth/email/login,Email auth and recovery,Retest passed,2,1,portal_bot\tests\test_email_auth.py; webapp\e2e\settings-email-link.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-013,POST,/api/auth/email/recovery/start,Email auth and recovery,Retest passed,1,1,portal_bot\tests\test_email_auth.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-014,POST,/api/auth/email/recovery/finish,Email auth and recovery,Retest passed,1,1,portal_bot\tests\test_email_auth.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-015,GET,/api/auth/session,Session auth,Retest passed,7,1,portal_bot\tests\test_app_first_api.py; portal_bot\tests\test_email_auth.py; portal_bot\tests\test_telegram_oidc_auth.py; tests\test_api_auth_and_tickets.py; tests\test_api_lifecycle_smoke.py; webapp\e2e\cabinet-flow.spec.ts; webapp\e2e\settings-email-link.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
